E2101 :  24/04/2013 20:39:58, unknown         , localhost                     , Could not connect to log database 
E2101 :  24/04/2013 20:39:58, unknown         , localhost                     , Could not connect to log database 
E2101 :  24/04/2013 20:40:46, unknown         , localhost                     , Could not connect to log database 
E2101 :  24/04/2013 20:40:46, unknown         , localhost                     , Could not connect to log database 
E2101 :  24/04/2013 20:40:46, unknown         , localhost                     , Could not connect to log database 
E2101 :  24/04/2013 20:40:57, unknown         , localhost                     , Could not connect to log database 
E2101 :  24/04/2013 20:40:57, unknown         , localhost                     , Could not connect to log database 
E2101 :  24/04/2013 20:40:57, unknown         , localhost                     , Could not connect to log database 
E2101 :  24/04/2013 20:41:07, unknown         , localhost                     , Could not connect to log database 
E2101 :  24/04/2013 20:41:07, unknown         , localhost                     , Could not connect to log database 
E2101 :  24/04/2013 20:41:07, unknown         , localhost                     , Could not connect to log database 
E2101 :  24/04/2013 20:42:37, unknown         , localhost                     , Could not connect to log database 
E2101 :  24/04/2013 20:42:37, unknown         , localhost                     , Could not connect to log database 
E2101 :  24/04/2013 20:42:37, unknown         , localhost                     , Could not connect to log database 
E2101 :  24/04/2013 20:42:48, unknown         , localhost                     , Could not connect to log database 
E2101 :  24/04/2013 20:42:48, unknown         , localhost                     , Could not connect to log database 
E2101 :  24/04/2013 20:42:48, unknown         , localhost                     , Could not connect to log database 
E2101 :  24/04/2013 20:42:50, unknown         , localhost                     , Could not connect to log database 
E2101 :  24/04/2013 20:42:50, unknown         , localhost                     , Could not connect to log database 
E2101 :  24/04/2013 20:42:50, unknown         , localhost                     , Could not connect to log database 
E2101 :  24/04/2013 20:43:00, unknown         , localhost                     , Could not connect to log database 
E2101 :  24/04/2013 20:43:00, unknown         , localhost                     , Could not connect to log database 
E2101 :  24/04/2013 20:43:00, unknown         , localhost                     , Could not connect to log database 
